Index,cbG,cbL,dsG,dsL,lsG,lsL,qnG,qnL,xcG,xcL,zhibiao
87,3606.8,3827,8834.8,4074.6,931.3,1573.9,816.3,450.1,6243.5,1967.9,59.76066872
88,1061.9,1281.3,6467.5,1704.2,2891.4,3573,1517.2,1151,6117,1827.2,44.93394268
89,406.6,625.1,10003,5245,1528.6,2194.9,2032,1665.5,5896,1606.2,53.29776866
90,1112.2,1331,8318.3,3557.8,671.5,1220.6,1896,1529.6,7163.1,2979.9,67.38011522
91,3988.6,4209,6224.2,1460.6,1502,2161.8,2817.9,2451.6,6252.9,1962.1,53.89284986
92,1900.2,2119.5,9004,4244,730.5,1360.7,2557.1,2190.8,4535.8,301.9,38.61900839
93,3537.6,3757.4,5994,1230.8,2378.7,3023,2428,2061.7,6998.1,2707.1,68.21820538
94,2050.7,2270.4,6425.4,1662.5,1265.4,1940.5,2028,1661.5,5349.3,1083.8,31.16926177
95,1705.1,1924.5,6448.4,1684.9,1017.7,1670.8,524.9,158.3,6647,2389.7,41.900581
96,1407,1626.1,8770.8,4010.3,2565.3,3232.2,1502.5,1136.2,5928,1638.4,56.21029456
97,2619.4,2839,6537.5,1774.6,641.4,1264.2,2246.5,1880.1,5296.9,1081.9,34.19424877
98,2825.6,3045.3,5593.6,829.3,466.1,1074.8,2517.7,2151.4,5441.6,1241.9,32.92714417
99,896.4,1115.7,5258.3,494.3,2499.3,3209.6,616.8,250.4,5385.6,1095.4,19.16312646
